Instrument,Date,Settlement Price,Open Price,Close Price,Open Interest,RIC,Strike,Expiry,Expiry_Date
CL825L24^L24,2024-07-15T00:00:00Z,2.3,2.48,2.48,431,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-16T00:00:00Z,1.96,1.97,1.98,431,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-17T00:00:00Z,2.29,1.93,2.29,324,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-18T00:00:00Z,2.35,2.4,2.4,326,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-19T00:00:00Z,1.71,2.2,1.74,437,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-22T00:00:00Z,1.65,1.79,1.72,946,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-23T00:00:00Z,1.33,1.45,1.35,1022,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-24T00:00:00Z,1.42,1.45,1.43,1034,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-25T00:00:00Z,1.49,1.2,1.2,1034,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-26T00:00:00Z,1.3,1.2,1.2,1084,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-29T00:00:00Z,1.12,1.33,1.11,1121,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-30T00:00:00Z,1.05,1.1,1.08,1157,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-07-31T00:00:00Z,1.8,1.19,1.74,1165,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-01T00:00:00Z,1.59,1.78,1.78,1165,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-02T00:00:00Z,1.2,1.65,1.17,1145,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-05T00:00:00Z,1.36,1.27,1.6,1145,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-06T00:00:00Z,1.32,1.68,1.37,1145,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-07T00:00:00Z,1.58,1.39,1.45,1072,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-08T00:00:00Z,1.65,1.39,1.45,1172,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-09T00:00:00Z,1.62,1.61,1.57,1173,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-12T00:00:00Z,2.38,1.61,1.57,1182,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-13T00:00:00Z,1.87,1.94,1.84,1200,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-14T00:00:00Z,1.6,1.94,1.75,1397,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-15T00:00:00Z,1.83,1.71,1.82,1396,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-16T00:00:00Z,1.48,1.64,1.41,1397,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-19T00:00:00Z,1.08,1.64,1.41,1395,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-20T00:00:00Z,0.97,1.0,0.98,1828,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-21T00:00:00Z,0.8,0.95,0.82,1823,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-22T00:00:00Z,0.89,0.81,0.88,1846,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-23T00:00:00Z,1.08,0.98,1.02,1846,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-26T00:00:00Z,1.39,1.17,1.35,1816,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-27T00:00:00Z,1.05,1.17,1.35,1816,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-28T00:00:00Z,0.97,0.94,0.97,1823,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-29T00:00:00Z,1.06,0.91,1.09,1837,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-30T00:00:00Z,0.83,1.12,0.8,1840,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-08-30T00:00:00Z,0.83,1.12,0.8,1840,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-03T00:00:00Z,0.49,0.81,0.56,1760,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-04T00:00:00Z,0.43,0.45,0.47,1760,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-05T00:00:00Z,0.37,0.43,0.37,1761,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-06T00:00:00Z,0.27,0.26,0.27,1854,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-09T00:00:00Z,0.29,0.31,0.29,1871,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-10T00:00:00Z,0.18,0.25,0.17,1866,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-11T00:00:00Z,0.21,0.18,0.2,1866,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-12T00:00:00Z,0.25,0.21,0.25,1866,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-13T00:00:00Z,0.23,0.27,0.27,1866,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-16T00:00:00Z,0.27,0.23,0.23,1867,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-17T00:00:00Z,0.37,0.32,0.41,1855,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-18T00:00:00Z,0.38,0.32,0.41,1855,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-19T00:00:00Z,0.42,0.39,0.39,1859,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-20T00:00:00Z,0.37,0.39,0.39,1859,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-23T00:00:00Z,0.34,0.36,0.43,1866,CL825L24^L24,82.5,L24,2024-12-01
CL825L24^L24,2024-09-24T00:00:00Z,0.43,0.36,0.43,1786,CL825L24^L24,82.5,L24,2024-12-01
