Instrument,Date,Settlement Price,Open Price,Close Price,Open Interest,RIC,Strike,Expiry,Expiry_Date
CL525C25^C25,2024-04-26T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-04-29T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-04-30T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-01T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-02T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-03T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-06T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-07T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-08T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-09T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-10T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-13T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-14T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-15T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-16T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-17T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-20T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-21T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-22T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-23T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-24T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-27T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-28T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-29T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-30T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-05-31T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-03T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-04T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-05T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-06T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-07T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-10T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-11T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-12T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-13T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-14T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-17T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-18T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-19T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-20T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-21T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-24T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-25T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-26T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-27T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-06-28T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-01T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-02T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-03T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-04T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-05T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-08T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-09T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-10T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-11T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-12T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-15T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-16T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-17T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-18T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-19T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-22T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-23T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-24T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-25T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-26T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-29T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-30T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-07-31T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
CL525C25^C25,2024-08-01T00:00:00Z,,,,,CL525C25^C25,52.5,C25,2025-03-01
