Instrument,Date,Close Price
CLc1,9/30/2022,79.74
CLc1,10/3/2022,83.34
CLc1,10/4/2022,86.37
CLc1,10/5/2022,88.03
CLc1,10/6/2022,88.96
CLc1,10/7/2022,93.2
CLc1,10/10/2022,90.82
CLc1,10/11/2022,88.59
CLc1,10/12/2022,87.1
CLc1,10/13/2022,89.23
CLc1,10/14/2022,85.55
CLc1,10/17/2022,85.67
CLc1,10/18/2022,83.69
CLc1,10/19/2022,85.87
CLc1,10/20/2022,85.71
CLc1,10/21/2022,85.14
CLc1,10/24/2022,84.89
CLc1,10/25/2022,84.94
CLc1,10/26/2022,88.26
CLc1,10/27/2022,88.6
CLc1,10/28/2022,88.38
CLc1,10/31/2022,86.21
CLc1,11/1/2022,88.57
CLc1,11/2/2022,89.35
CLc1,11/3/2022,87.95
CLc1,11/4/2022,92.6
CLc1,11/7/2022,91.87
CLc1,11/8/2022,88.67
CLc1,11/9/2022,85.64
CLc1,11/10/2022,86.21
CLc1,11/11/2022,88.86
CLc1,11/14/2022,85.21
CLc1,11/15/2022,86.82
CLc1,11/16/2022,85.32
CLc1,11/17/2022,82.06
CLc1,11/18/2022,80.11
CLc1,11/21/2022,79.74
CLc1,11/22/2022,81.1
CLc1,11/23/2022,77.45
CLc1,11/23/2022,77.45
CLc1,11/25/2022,76.55
CLc1,11/28/2022,76.54
CLc1,11/29/2022,78.91
CLc1,11/30/2022,80.49
CLc1,12/1/2022,81.41
CLc1,12/2/2022,80.34
CLc1,12/5/2022,77.37
CLc1,12/6/2022,74.45
CLc1,12/7/2022,72.4
CLc1,12/8/2022,71.79
CLc1,12/9/2022,71.59
CLc1,12/12/2022,73.3
CLc1,12/13/2022,75.25
CLc1,12/14/2022,77.42
CLc1,12/15/2022,76.37
CLc1,12/16/2022,74.5
CLc1,12/19/2022,75.67
CLc1,12/20/2022,76.02
CLc1,12/21/2022,78.42
CLc1,12/22/2022,78.24
CLc1,12/23/2022,79.35
CLc1,12/23/2022,79.35
CLc1,12/27/2022,79.87
CLc1,12/28/2022,78.86
CLc1,12/29/2022,78.71
CLc1,12/30/2022,80.51
CLc1,12/30/2022,80.51
CLc1,1/3/2023,77.21
CLc1,1/4/2023,73.22
CLc1,1/5/2023,73.93
CLc1,1/6/2023,73.73
CLc1,1/9/2023,74.87
CLc1,1/10/2023,74.71
CLc1,1/11/2023,77.71
CLc1,1/12/2023,78.26
CLc1,1/13/2023,80.07
CLc1,1/13/2023,80.07
CLc1,1/17/2023,81.04
CLc1,1/18/2023,79.14
CLc1,1/19/2023,80.58
CLc1,1/20/2023,81.4
CLc1,1/23/2023,81.62
CLc1,1/24/2023,80.26
CLc1,1/25/2023,80.44
CLc1,1/26/2023,81.1
CLc1,1/27/2023,79.38
CLc1,1/30/2023,77.81
CLc1,1/31/2023,79.03
CLc1,2/1/2023,76.7
CLc1,2/2/2023,76
CLc1,2/3/2023,73.23
CLc1,2/6/2023,74.46
CLc1,2/7/2023,77.59
CLc1,2/8/2023,78.48
CLc1,2/9/2023,77.66
CLc1,2/10/2023,79.76
CLc1,2/13/2023,79.16
CLc1,2/14/2023,78.84
CLc1,2/15/2023,78.5
CLc1,2/16/2023,78.07
CLc1,2/17/2023,76.33
CLc1,2/17/2023,76.33
CLc1,2/21/2023,76.05
CLc1,2/22/2023,73.85
CLc1,2/23/2023,75.65
CLc1,2/24/2023,76.45
CLc1,2/27/2023,75.76
CLc1,2/28/2023,76.84
CLc1,3/1/2023,77.72
CLc1,3/2/2023,77.88
CLc1,3/3/2023,79.85
CLc1,3/6/2023,80.49
CLc1,3/7/2023,77.21
CLc1,3/8/2023,76.48
CLc1,3/9/2023,75.6
CLc1,3/10/2023,76.68
CLc1,3/13/2023,74.69
CLc1,3/14/2023,71.48
CLc1,3/15/2023,68.23
CLc1,3/16/2023,68.24
CLc1,3/17/2023,66.34
CLc1,3/20/2023,67.61
CLc1,3/21/2023,69.5
CLc1,3/22/2023,69.92
CLc1,3/23/2023,69.47
CLc1,3/24/2023,69.2
CLc1,3/27/2023,72.89
CLc1,3/28/2023,73.58
CLc1,3/29/2023,72.81
CLc1,3/30/2023,74.37
CLc1,3/31/2023,75.7
CLc1,4/3/2023,80.45
CLc1,4/4/2023,81.05
CLc1,4/5/2023,80.35
CLc1,4/6/2023,80.46
CLc1,4/6/2023,80.46
CLc1,4/10/2023,79.91
CLc1,4/11/2023,81.46
CLc1,4/12/2023,83.26
CLc1,4/13/2023,82.43
CLc1,4/14/2023,82.68
CLc1,4/17/2023,80.95
CLc1,4/18/2023,80.85
CLc1,4/19/2023,78.96
CLc1,4/20/2023,77.29
CLc1,4/21/2023,77.95
CLc1,4/24/2023,78.68
CLc1,4/25/2023,77.13
CLc1,4/26/2023,74.34
CLc1,4/27/2023,74.82
CLc1,4/28/2023,76.63
CLc1,5/1/2023,75.75
CLc1,5/2/2023,71.54
CLc1,5/3/2023,68.14
CLc1,5/4/2023,68.59
CLc1,5/5/2023,71.32
CLc1,5/8/2023,72.8
CLc1,5/9/2023,73.53
CLc1,5/10/2023,72.79
CLc1,5/11/2023,71.42
CLc1,5/12/2023,70.09
CLc1,5/15/2023,71.3
CLc1,5/16/2023,70.53
CLc1,5/17/2023,72.67
